Body,Head,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable
?a  <parent>  ?d  ?a  <predecessor>  ?d   ,"?a  <gender>  ""male""@en",0.156339371,0.896174863,0.896174863,164,183,183,?a
?a  <parent>  ?d  ?d  <successor>  ?a   ,"?a  <gender>  ""male""@en",0.156339371,0.896174863,0.896174863,164,183,183,?a
?a  <parent>  ?b  ?b  <successor>  ?a   ,?a  <father>  ?b,0.258358663,0.871794872,0.894736842,170,195,190,?a
?a  <parent>  ?b  ?a  <predecessor>  ?b   ,?a  <father>  ?b,0.258358663,0.871794872,0.894736842,170,195,190,?a
?d  <parent>  ?a  ?a  <successor>  ?d   ,"?a  <gender>  ""male""@en",0.160152526,0.879581152,0.893617021,168,191,188,?a
?c  <parent>  ?a  ?c  <predecessor>  ?a   ,"?a  <gender>  ""male""@en",0.160152526,0.879581152,0.893617021,168,191,188,?a
?d  <parent>  ?a  ?a  <successor>  ?d   ,?a  <hasSpouse>  <Yes>,0.076853526,0.890052356,0.890052356,170,191,191,?a
?c  <parent>  ?a  ?c  <predecessor>  ?a   ,?a  <hasSpouse>  <Yes>,0.076853526,0.890052356,0.890052356,170,191,191,?a
"?d  <gender>  ""male""@en  ?a  <parent>  ?d   ",?a  <hasSpouse>  <Yes>,0.266274864,0.889728097,0.889728097,589,662,662,?a
"?a  <father>  ?d  ?d  <gender>  ""male""@en   ",?a  <hasSpouse>  <Yes>,0.264466546,0.889057751,0.889057751,585,658,658,?a
?a  <father>  ?d  ?d  <type>  <Person>   ,?a  <hasSpouse>  <Yes>,0.264466546,0.889057751,0.889057751,585,658,658,?a
?a  <father>  ?d  ?a  <parent>  ?d   ,?a  <hasSpouse>  <Yes>,0.264466546,0.889057751,0.889057751,585,658,658,?a
?a  <mother>  ?f  ?f  <spouse>  ?b   ,?a  <father>  ?b,0.749240122,0.883512545,0.888288288,493,558,555,?a
?a  <mother>  ?f  ?b  <spouse>  ?f   ,?a  <father>  ?b,0.747720365,0.883303411,0.888086643,492,557,554,?a
?d  <hasSpouse>  <Yes>  ?a  <successor>  ?d   ,"?a  <gender>  ""male""@en",0.185891325,0.643564356,0.886363636,195,303,220,?a
?c  <hasSpouse>  <Yes>  ?c  <predecessor>  ?a   ,"?a  <gender>  ""male""@en",0.185891325,0.643564356,0.886363636,195,303,220,?a
?d  <father>  ?a  ?a  <successor>  ?d   ,?a  <hasSpouse>  <Yes>,0.066907776,0.886227545,0.886227545,148,167,167,?a
?c  <father>  ?a  ?c  <predecessor>  ?a   ,?a  <hasSpouse>  <Yes>,0.066907776,0.886227545,0.886227545,148,167,167,?a
?a  <predecessor>  ?d  ?d  <successor>  ?a   ,"?a  <gender>  ""male""@en",0.237368923,0.665775401,0.886120996,249,374,281,?a
?a  <predecessor>  ?d  ?d  <type>  <Person>   ,"?a  <gender>  ""male""@en",0.237368923,0.665775401,0.886120996,249,374,281,?a
?c  <successor>  ?a  ?c  <type>  <Person>   ,"?a  <gender>  ""male""@en",0.237368923,0.665775401,0.886120996,249,374,281,?a
?a  <father>  ?f  ?b  <spouse>  ?f   ,?a  <parent>  ?b,0.402744149,0.737075332,0.884751773,499,677,564,?b
?a  <father>  ?f  ?f  <spouse>  ?b   ,?a  <parent>  ?b,0.401937046,0.735598227,0.884547069,498,677,563,?b
?a  <parent>  ?d  ?d  <type>  <Person>   ,?a  <hasSpouse>  <Yes>,0.272603978,0.884164223,0.884164223,603,682,682,?a
?a  <successor>  ?d  ?d  <type>  <Person>   ,"?a  <gender>  ""male""@en",0.257387989,0.67839196,0.882352941,270,398,306,?a
?d  <predecessor>  ?a  ?a  <successor>  ?d   ,"?a  <gender>  ""male""@en",0.257387989,0.67839196,0.882352941,270,398,306,?a
?c  <predecessor>  ?a  ?c  <type>  <Person>   ,"?a  <gender>  ""male""@en",0.257387989,0.67839196,0.882352941,270,398,306,?a
?d  <hasSpouse>  <Yes>  ?a  <predecessor>  ?d   ,"?a  <gender>  ""male""@en",0.17349857,0.616949153,0.875,182,295,208,?a
?c  <hasSpouse>  <Yes>  ?c  <successor>  ?a   ,"?a  <gender>  ""male""@en",0.17349857,0.616949153,0.875,182,295,208,?a
?d  <hasSpouse>  <No>  ?a  <successor>  ?d   ,"?a  <gender>  ""male""@en",0.088655863,0.801724138,0.869158879,93,116,107,?a
?c  <hasSpouse>  <No>  ?c  <predecessor>  ?a   ,"?a  <gender>  ""male""@en",0.088655863,0.801724138,0.869158879,93,116,107,?a
?c  <child>  ?a  ?c  <hasSpouse>  <No>   ,"?a  <gender>  ""male""@en",0.017159199,0.346153846,0.857142857,18,52,21,?a
?f  <gender>  ?b  ?a  <predecessor>  ?f   ,?a  <gender>  ?b,0.19828408,0.613569322,0.852459016,208,339,244,?a
?e  <gender>  ?b  ?e  <successor>  ?a   ,?a  <gender>  ?b,0.19828408,0.613569322,0.852459016,208,339,244,?a
?f  <gender>  ?b  ?a  <successor>  ?f   ,?a  <gender>  ?b,0.197330791,0.616071429,0.851851852,207,336,243,?a
?e  <gender>  ?b  ?e  <predecessor>  ?a   ,?a  <gender>  ?b,0.197330791,0.616071429,0.851851852,207,336,243,?a
"?c  <gender>  ""female""@en  ?c  <parent>  ?a   ",?a  <hasSpouse>  <Yes>,0.176311031,0.849673203,0.849673203,390,459,459,?a
?b  <predecessor>  <Prince_Philippe_Count_of_Paris>  <French_Revolution_of_1848>  <predecessor>  ?a   ,?a  <successor>  ?b,0.010615711,0.833333333,0.833333333,5,6,6,?a
?b  <predecessor>  <Prince_Philippe_Count_of_Paris>  <Jacques_Charles_Dupont_de_l_Eure>  <predecessor>  ?a   ,?a  <successor>  ?b,0.010615711,0.833333333,0.833333333,5,6,6,?a
?a  <predecessor>  <Henri_Count_of_Chambord>  ?b  <predecessor>  <Prince_Philippe_Count_of_Paris>   ,?a  <successor>  ?b,0.010615711,0.833333333,0.833333333,5,6,6,?a
?a  <marriedTo>  ?f  ?b  <parent>  ?f   ,?a  <successor>  ?b,0.010615711,0.25,0.833333333,5,20,6,?a
?f  <marriedTo>  ?a  ?b  <parent>  ?f   ,?a  <successor>  ?b,0.010615711,0.263157895,0.833333333,5,19,6,?a
?b  <successor>  <French_Revolution_of_1848>  <Prince_Philippe_Count_of_Paris>  <successor>  ?a   ,?a  <predecessor>  ?b,0.010615711,0.833333333,0.833333333,5,6,6,?b
?b  <successor>  <Jacques_Charles_Dupont_de_l_Eure>  <Prince_Philippe_Count_of_Paris>  <successor>  ?a   ,?a  <predecessor>  ?b,0.010615711,0.833333333,0.833333333,5,6,6,?b
<Prince_Philippe_Count_of_Paris>  <successor>  ?a  <Henri_Count_of_Chambord>  <successor>  ?b   ,?a  <predecessor>  ?b,0.010615711,0.833333333,0.833333333,5,6,6,?b
?b  <marriedTo>  ?f  ?a  <parent>  ?f   ,?a  <predecessor>  ?b,0.010615711,0.25,0.833333333,5,20,6,?b
?f  <marriedTo>  ?b  ?a  <parent>  ?f   ,?a  <predecessor>  ?b,0.010615711,0.263157895,0.833333333,5,19,6,?b
?a  <hasSpouse>  <No>   ,"?a  <gender>  ""male""@en",0.14013346,0.120689655,0.830508475,147,1218,177,?a
?c  <child>  ?a  ?c  <father>  <Charles_III_of_Spain>   ,?a  <hasSpouse>  <No>,0.01084991,0.827586207,0.827586207,24,29,29,?a
?c  <child>  ?a  ?c  <parent>  <Charles_III_of_Spain>   ,?a  <hasSpouse>  <No>,0.01084991,0.827586207,0.827586207,24,29,29,?a
?c  <child>  ?a  ?c  <parent>  <Maria_Amalia_of_Saxony>   ,?a  <hasSpouse>  <No>,0.01084991,0.827586207,0.827586207,24,29,29,?a
?c  <child>  ?a  ?c  <mother>  <Maria_Amalia_of_Saxony>   ,?a  <hasSpouse>  <No>,0.01084991,0.827586207,0.827586207,24,29,29,?a
?b  <hasSpouse>  <No>  ?a  <parent>  ?b   ,?a  <father>  ?b,0.211246201,0.698492462,0.827380952,139,199,168,?a
?b  <child>  ?a  ?a  <hasSpouse>  <Yes>   ,?a  <parent>  ?b,0.423728814,0.816485226,0.826771654,525,643,635,?b
?b  <hasSpouse>  <No>  ?b  <predecessor>  ?a   ,?a  <child>  ?b,0.036900369,0.53030303,0.823529412,70,132,85,?b
?b  <hasSpouse>  <No>  ?a  <successor>  ?b   ,?a  <child>  ?b,0.036900369,0.53030303,0.823529412,70,132,85,?b
?d  <hasSpouse>  <No>  ?a  <mother>  ?d   ,?a  <hasSpouse>  <Yes>,0.01039783,0.821428571,0.821428571,23,28,28,?a
?c  <hasSpouse>  <No>  ?c  <mother>  ?a   ,?a  <hasSpouse>  <Yes>,0.01039783,0.821428571,0.821428571,23,28,28,?a
"?b  <child>  ?a  ?a  <gender>  ""female""@en   ",?a  <parent>  ?b,0.194511703,0.811447811,0.816949153,241,297,295,?b
?e  <hasSpouse>  ?b  ?e  <parent>  ?a   ,?a  <hasSpouse>  ?b,0.382007233,0.810940499,0.810940499,845,1042,1042,?a
?d  <hasSpouse>  <No>  ?a  <predecessor>  ?d   ,?a  <hasSpouse>  <Yes>,0.040687161,0.810810811,0.810810811,90,111,111,?a
?c  <hasSpouse>  <No>  ?c  <successor>  ?a   ,?a  <hasSpouse>  <Yes>,0.040687161,0.810810811,0.810810811,90,111,111,?a
?c  <parent>  ?a  ?c  <type>  <Person>   ,?a  <hasSpouse>  <Yes>,0.372061483,0.809242871,0.809242871,823,1017,1017,?a
"?c  <gender>  ""male""@en  ?c  <parent>  ?a   ",?a  <hasSpouse>  <Yes>,0.240506329,0.806060606,0.806060606,532,660,660,?a
"?c  <father>  ?a  ?c  <gender>  ""female""@en   ",?a  <hasSpouse>  <Yes>,0.084990958,0.803418803,0.803418803,188,234,234,?a
?d  <hasSpouse>  <No>  ?a  <successor>  ?d   ,?a  <hasSpouse>  <Yes>,0.0420434,0.801724138,0.801724138,93,116,116,?a
?c  <hasSpouse>  <No>  ?c  <predecessor>  ?a   ,?a  <hasSpouse>  <Yes>,0.0420434,0.801724138,0.801724138,93,116,116,?a
?c  <child>  ?a  ?c  <parent>  <Francis_I_Holy_Roman_Emperor>   ,?a  <hasSpouse>  <No>,0.014466546,0.8,0.8,32,40,40,?a
?c  <child>  ?a  ?c  <father>  <Francis_I_Holy_Roman_Emperor>   ,?a  <hasSpouse>  <No>,0.014466546,0.8,0.8,32,40,40,?a
?c  <child>  ?a  ?c  <parent>  <Maria_Theresa>   ,?a  <hasSpouse>  <No>,0.014466546,0.8,0.8,32,40,40,?a
?a  <father>  ?f  ?f  <hasSpouse>  ?b   ,?a  <hasSpouse>  ?b,0.237793852,0.799392097,0.799392097,526,658,658,?a
"?d  <gender>  ""female""@en  ?a  <successor>  ?d   ",?a  <hasSpouse>  <Yes>,0.014014467,0.794871795,0.794871795,31,39,39,?a
"?c  <gender>  ""female""@en  ?c  <predecessor>  ?a   ",?a  <hasSpouse>  <Yes>,0.014014467,0.794871795,0.794871795,31,39,39,?a
?e  <hasSpouse>  ?b  ?a  <parent>  ?e   ,?a  <hasSpouse>  ?b,0.245027125,0.787790698,0.787790698,542,688,688,?a
"?a  <gender>  ""male""@en  ?b  <successor>  ?a   ",?a  <parent>  ?b,0.139628733,0.525835866,0.78280543,173,329,221,?b
"?a  <gender>  ""male""@en  ?a  <predecessor>  ?b   ",?a  <parent>  ?b,0.139628733,0.525835866,0.78280543,173,329,221,?b
?a  <father>  ?f  ?f  <marriedTo>  ?b   ,?a  <mother>  ?b,0.013108614,0.777777778,0.777777778,7,9,9,?a
?e  <father>  ?a  ?e  <hasSpouse>  ?b   ,?a  <hasSpouse>  ?b,0.193490054,0.772563177,0.772563177,428,554,554,?a
?b  <father>  ?a   ,?a  <child>  ?b,0.159198735,0.458966565,0.766497462,302,658,394,?b
?b  <marriedTo>  ?f  ?a  <parent>  ?f   ,?a  <parent>  ?b,0.010492333,0.65,0.764705882,13,20,17,?b
?f  <marriedTo>  ?b  ?a  <parent>  ?f   ,?a  <parent>  ?b,0.010492333,0.684210526,0.764705882,13,19,17,?b
?a  <hasSpouse>  <Yes>  ?a  <predecessor>  ?b   ,?a  <parent>  ?b,0.142857143,0.522123894,0.762931034,177,339,232,?b
?a  <hasSpouse>  <Yes>  ?b  <successor>  ?a   ,?a  <parent>  ?b,0.142857143,0.522123894,0.762931034,177,339,232,?b
"?a  <gender>  ""male""@en  ?b  <parent>  ?a   ",?a  <child>  ?b,0.160253031,0.45852187,0.761904762,304,663,399,?b
?a  <father>  ?f  ?b  <spouse>  ?f   ,?a  <mother>  ?b,0.923220974,0.728212703,0.757296467,493,677,651,?a
?a  <father>  ?f  ?f  <spouse>  ?b   ,?a  <mother>  ?b,0.921348315,0.726735598,0.755760369,492,677,651,?a
?c  <father>  ?a  ?c  <parent>  ?a   ,?a  <hasSpouse>  <Yes>,0.183996383,0.752310536,0.752310536,407,541,541,?a
?c  <father>  ?a  ?c  <type>  <Person>   ,?a  <hasSpouse>  <Yes>,0.183996383,0.752310536,0.752310536,407,541,541,?a
"?c  <father>  ?a  ?c  <gender>  ""male""@en   ",?a  <hasSpouse>  <Yes>,0.122513562,0.748618785,0.748618785,271,362,362,?a
"?a  <gender>  ""male""@en   ",?a  <hasSpouse>  <Yes>,0.194846293,0.74567474,0.74567474,431,578,578,?a
"?b  <gender>  ""male""@en  ?a  <predecessor>  ?b   ",?a  <father>  ?b,0.258358663,0.513595166,0.739130435,170,331,230,?a
"?b  <gender>  ""male""@en  ?b  <successor>  ?a   ",?a  <father>  ?b,0.258358663,0.513595166,0.739130435,170,331,230,?a
?b  <hasSpouse>  <No>  ?b  <parent>  ?a   ,?a  <child>  ?b,0.015814444,0.267857143,0.731707317,30,112,41,?b
"?b  <gender>  ""female""@en  ?b  <successor>  ?a   ",?a  <mother>  ?b,0.035580524,0.431818182,0.730769231,19,44,26,?a
"?b  <gender>  ""female""@en  ?a  <predecessor>  ?b   ",?a  <mother>  ?b,0.035580524,0.431818182,0.730769231,19,44,26,?a
?b  <hasSpouse>  <No>  ?b  <successor>  ?a   ,?a  <parent>  ?b,0.016949153,0.168,0.724137931,21,125,29,?b
?b  <hasSpouse>  <No>  ?a  <predecessor>  ?b   ,?a  <parent>  ?b,0.016949153,0.168,0.724137931,21,125,29,?b
"?a  <gender>  ""male""@en  ?b  <predecessor>  ?a   ",?a  <child>  ?b,0.0985767,0.564954683,0.722007722,187,331,259,?b
"?a  <gender>  ""male""@en  ?a  <successor>  ?b   ",?a  <child>  ?b,0.0985767,0.564954683,0.722007722,187,331,259,?b
"?b  <gender>  ""female""@en  ?b  <parent>  ?a   ",?a  <child>  ?b,0.127042699,0.475345168,0.721556886,241,507,334,?b
?c  <hasSpouse>  <No>  ?c  <parent>  ?a   ,"?a  <gender>  ""male""@en",0.068636797,0.666666667,0.72,72,108,100,?a
?b  <child>  ?a  ?b  <successor>  ?a   ,?a  <parent>  ?b,0.115415658,0.697560976,0.715,143,205,200,?b
?b  <child>  ?a  ?a  <predecessor>  ?b   ,?a  <parent>  ?b,0.115415658,0.697560976,0.715,143,205,200,?b
?b  <parent>  ?a   ,?a  <child>  ?b,0.292567211,0.447941889,0.713367609,555,1239,778,?b
?a  <father>  ?d  ?d  <hasSpouse>  <No>   ,?a  <hasSpouse>  <Yes>,0.044755877,0.712230216,0.712230216,99,139,139,?a
?d  <hasSpouse>  <No>  ?a  <parent>  ?d   ,?a  <hasSpouse>  <Yes>,0.051084991,0.710691824,0.710691824,113,159,159,?a
?a  <hasSpouse>  <No>  ?a  <parent>  ?b   ,?a  <father>  ?b,0.110942249,0.651785714,0.708737864,73,112,103,?a
?d  <child>  ?a  ?a  <father>  ?d   ,"?a  <gender>  ""male""@en",0.204003813,0.708609272,0.708609272,214,302,302,?a
"?c  <child>  ?a  ?c  <name>  ""Ferdinand I""@en   ",?a  <hasSpouse>  <No>,0.01084991,0.705882353,0.705882353,24,34,34,?a
?a  <predecessor>  <Henri_Count_of_Chambord>  ?b  <predecessor>  <Louis_Philippe_I>   ,?a  <successor>  ?b,0.014861996,0.7,0.7,7,10,10,?a
?b  <predecessor>  <Louis_Philippe_I>  <French_Revolution_of_1848>  <predecessor>  ?a   ,?a  <successor>  ?b,0.014861996,0.7,0.7,7,10,10,?a
?b  <predecessor>  <Louis_Philippe_I>  <Jacques_Charles_Dupont_de_l_Eure>  <predecessor>  ?a   ,?a  <successor>  ?b,0.014861996,0.7,0.7,7,10,10,?a
?a  <hasSpouse>  <No>  ?b  <parent>  ?a   ,?a  <successor>  ?b,0.044585987,0.105527638,0.7,21,199,30,?a
?b  <hasSpouse>  <No>  ?a  <parent>  ?b   ,?a  <predecessor>  ?b,0.044585987,0.105527638,0.7,21,199,30,?b
?b  <successor>  <French_Revolution_of_1848>  <Louis_Philippe_I>  <successor>  ?a   ,?a  <predecessor>  ?b,0.014861996,0.7,0.7,7,10,10,?b
?b  <successor>  <Jacques_Charles_Dupont_de_l_Eure>  <Louis_Philippe_I>  <successor>  ?a   ,?a  <predecessor>  ?b,0.014861996,0.7,0.7,7,10,10,?b
<Louis_Philippe_I>  <successor>  ?a  <Henri_Count_of_Chambord>  <successor>  ?b   ,?a  <predecessor>  ?b,0.014861996,0.7,0.7,7,10,10,?b
?b  <child>  ?a  ?a  <hasSpouse>  <No>   ,?a  <father>  ?b,0.031914894,0.016746411,0.7,21,1254,30,?a
?d  <predecessor>  ?a  ?a  <successor>  ?d   ,?a  <hasSpouse>  <Yes>,0.12522604,0.695979899,0.695979899,277,398,398,?a
?a  <successor>  ?d  ?d  <type>  <Person>   ,?a  <hasSpouse>  <Yes>,0.12522604,0.695979899,0.695979899,277,398,398,?a
?c  <predecessor>  ?a  ?c  <type>  <Person>   ,?a  <hasSpouse>  <Yes>,0.12522604,0.695979899,0.695979899,277,398,398,?a
?a  <hasSpouse>  <Yes>  ?b  <predecessor>  ?a   ,?a  <child>  ?b,0.101739589,0.557803468,0.694244604,193,346,278,?b
?a  <hasSpouse>  <Yes>  ?a  <successor>  ?b   ,?a  <child>  ?b,0.101739589,0.557803468,0.694244604,193,346,278,?b
"?b  <father>  ?a  ?b  <gender>  ""male""@en   ",?a  <successor>  ?b,0.333333333,0.394472362,0.691629956,157,398,227,?a
"?a  <father>  ?b  ?a  <gender>  ""male""@en   ",?a  <predecessor>  ?b,0.333333333,0.394472362,0.691629956,157,398,227,?b
"?a  <gender>  ""female""@en  ?b  <successor>  ?a   ",?a  <parent>  ?b,0.017756255,0.55,0.6875,22,40,32,?b
"?a  <gender>  ""female""@en  ?a  <predecessor>  ?b   ",?a  <parent>  ?b,0.017756255,0.55,0.6875,22,40,32,?b
"?b  <gender>  ""male""@en  ?b  <parent>  ?a   ",?a  <successor>  ?b,0.367303609,0.236986301,0.681102362,173,730,254,?a
"?a  <gender>  ""male""@en  ?a  <parent>  ?b   ",?a  <predecessor>  ?b,0.367303609,0.236986301,0.681102362,173,730,254,?b
"?b  <child>  ?a  ?a  <gender>  ""male""@en   ",?a  <father>  ?b,0.325227964,0.61849711,0.679365079,214,346,315,?a
?a  <predecessor>  ?d  ?d  <successor>  ?a   ,?a  <hasSpouse>  <Yes>,0.11482821,0.679144385,0.679144385,254,374,374,?a
?a  <predecessor>  ?d  ?d  <type>  <Person>   ,?a  <hasSpouse>  <Yes>,0.11482821,0.679144385,0.679144385,254,374,374,?a
?c  <successor>  ?a  ?c  <type>  <Person>   ,?a  <hasSpouse>  <Yes>,0.11482821,0.679144385,0.679144385,254,374,374,?a
?b  <hasSpouse>  <Yes>  ?b  <mother>  ?a   ,?a  <child>  ?b,0.125988403,0.474206349,0.678977273,239,504,352,?b
?b  <father>  ?a  ?a  <hasSpouse>  <No>   ,?a  <successor>  ?b,0.040339703,0.136690647,0.678571429,19,139,28,?a
?a  <father>  ?b  ?b  <hasSpouse>  <No>   ,?a  <predecessor>  ?b,0.040339703,0.136690647,0.678571429,19,139,28,?b
?c  <child>  ?a  ?c  <hasSpouse>  <Yes>   ,?a  <hasSpouse>  <No>,0.415461121,0.676232524,0.676232524,919,1359,1359,?a
?c  <child>  ?a  ?c  <type>  <Person>   ,?a  <hasSpouse>  <No>,0.431283906,0.67611623,0.67611623,954,1411,1411,?a
"?d  <gender>  ""female""@en  ?a  <predecessor>  ?d   ",?a  <hasSpouse>  <Yes>,0.013110307,0.674418605,0.674418605,29,43,43,?a
"?c  <gender>  ""female""@en  ?c  <successor>  ?a   ",?a  <hasSpouse>  <Yes>,0.013110307,0.674418605,0.674418605,29,43,43,?a
?b  <mother>  ?a   ,?a  <child>  ?b,0.130732736,0.464419476,0.67027027,248,534,370,?b
"?c  <child>  ?a  ?c  <gender>  ""female""@en   ",?a  <hasSpouse>  <No>,0.265370705,0.670091324,0.670091324,587,876,876,?a
?a  <father>  ?d  ?d  <hasSpouse>  <No>   ,"?a  <gender>  ""male""@en",0.088655863,0.669064748,0.669064748,93,139,139,?a
?a  <father>  ?f  ?b  <marriedTo>  ?f   ,?a  <mother>  ?b,0.011235955,0.666666667,0.666666667,6,9,9,?a
?b  <mother>  ?f  ?f  <spouse>  ?a   ,?a  <child>  ?b,0.144438587,0.491039427,0.663438257,274,558,413,?b
?b  <mother>  ?f  ?a  <spouse>  ?f   ,?a  <child>  ?b,0.144438587,0.491921005,0.663438257,274,557,413,?b
"?d  <gender>  ""male""@en  ?a  <predecessor>  ?d   ",?a  <hasSpouse>  <Yes>,0.088155515,0.658783784,0.658783784,195,296,296,?a
"?c  <gender>  ""male""@en  ?c  <successor>  ?a   ",?a  <hasSpouse>  <Yes>,0.088155515,0.658783784,0.658783784,195,296,296,?a
"?d  <gender>  ""female""@en  ?a  <successor>  ?d   ","?a  <gender>  ""male""@en",0.020019066,0.538461538,0.65625,21,39,32,?a
"?c  <gender>  ""female""@en  ?c  <predecessor>  ?a   ","?a  <gender>  ""male""@en",0.020019066,0.538461538,0.65625,21,39,32,?a
?d  <child>  ?a  ?a  <predecessor>  ?d   ,?a  <hasSpouse>  <Yes>,0.059222423,0.655,0.655,131,200,200,?a
?c  <child>  ?a  ?c  <successor>  ?a   ,?a  <hasSpouse>  <Yes>,0.059222423,0.655,0.655,131,200,200,?a
"?c  <child>  ?a  ?c  <gender>  ""male""@en   ",?a  <hasSpouse>  <No>,0.301084991,0.654867257,0.654867257,666,1017,1017,?a
?b  <father>  ?a  ?b  <hasSpouse>  <No>   ,?a  <successor>  ?b,0.036093418,0.232876712,0.653846154,17,73,26,?a
?a  <father>  ?b  ?a  <hasSpouse>  <No>   ,?a  <predecessor>  ?b,0.036093418,0.232876712,0.653846154,17,73,26,?b
?d  <hasSpouse>  <No>  ?a  <parent>  ?d   ,"?a  <gender>  ""male""@en",0.098188751,0.647798742,0.647798742,103,159,159,?a
?a  <child>  ?f  ?f  <gender>  ?b   ,?a  <gender>  ?b,0.311725453,0.644970414,0.644970414,327,507,507,?a
?d  <hasSpouse>  <No>  ?a  <mother>  ?d   ,"?a  <gender>  ""male""@en",0.017159199,0.642857143,0.642857143,18,28,28,?a
?b  <hasSpouse>  <No>  ?b  <parent>  ?a   ,?a  <successor>  ?b,0.038216561,0.160714286,0.642857143,18,112,28,?a
?a  <hasSpouse>  <No>  ?a  <parent>  ?b   ,?a  <predecessor>  ?b,0.038216561,0.160714286,0.642857143,18,112,28,?b
?b  <hasSpouse>  <Yes>  ?a  <predecessor>  ?b   ,?a  <father>  ?b,0.229483283,0.436416185,0.642553191,151,346,235,?a
?b  <hasSpouse>  <Yes>  ?b  <successor>  ?a   ,?a  <father>  ?b,0.229483283,0.436416185,0.642553191,151,346,235,?a
"?d  <gender>  ""male""@en  ?a  <successor>  ?d   ",?a  <hasSpouse>  <Yes>,0.085443038,0.636363636,0.636363636,189,297,297,?a
"?c  <gender>  ""male""@en  ?c  <predecessor>  ?a   ",?a  <hasSpouse>  <Yes>,0.085443038,0.636363636,0.636363636,189,297,297,?a
?b  <marriedTo>  ?f  ?a  <mother>  ?f   ,?a  <father>  ?b,0.010638298,0.636363636,0.636363636,7,11,11,?a
?f  <mother>  ?b  ?a  <successor>  ?f   ,?a  <spouse>  ?b,0.122395833,0.447619048,0.632286996,141,315,223,?a
?e  <mother>  ?b  ?e  <predecessor>  ?a   ,?a  <spouse>  ?b,0.122395833,0.447619048,0.632286996,141,315,223,?a
?a  <mother>  ?d  ?a  <predecessor>  ?d   ,"?a  <gender>  ""male""@en",0.011439466,0.631578947,0.631578947,12,19,19,?a
?a  <mother>  ?d  ?d  <successor>  ?a   ,"?a  <gender>  ""male""@en",0.011439466,0.631578947,0.631578947,12,19,19,?a
"?b  <child>  ?a  ?a  <gender>  ""female""@en   ",?a  <mother>  ?b,0.279026217,0.501683502,0.631355932,149,297,236,?a
?a  <hasSpouse>  <No>  ?b  <successor>  ?a   ,?a  <father>  ?b,0.025835866,0.128787879,0.62962963,17,132,27,?a
?a  <hasSpouse>  <No>  ?a  <predecessor>  ?b   ,?a  <father>  ?b,0.025835866,0.128787879,0.62962963,17,132,27,?a
?b  <predecessor>  <Charles_the_Bald>  <Charles_the_Fat>  <predecessor>  ?a   ,?a  <successor>  ?b,0.010615711,0.625,0.625,5,8,8,?a
?b  <predecessor>  <Charles_VII_Holy_Roman_Emperor>  <Francis_I_Holy_Roman_Emperor>  <predecessor>  ?a   ,?a  <successor>  ?b,0.010615711,0.625,0.625,5,8,8,?a
?b  <child>  <Leopold_II_Holy_Roman_Emperor>  <Francis_I_Holy_Roman_Emperor>  <predecessor>  ?a   ,?a  <successor>  ?b,0.010615711,0.625,0.625,5,8,8,?a
?b  <child>  <Maria_Christina_Duchess_of_Teschen>  <Francis_I_Holy_Roman_Emperor>  <predecessor>  ?a   ,?a  <successor>  ?b,0.010615711,0.625,0.625,5,8,8,?a
?b  <child>  <Maria_Amalia_Duchess_of_Parma>  <Francis_I_Holy_Roman_Emperor>  <predecessor>  ?a   ,?a  <successor>  ?b,0.010615711,0.625,0.625,5,8,8,?a
?b  <child>  <Archduchess_Maria_Anna_of_Austria_born_1738>  <Francis_I_Holy_Roman_Emperor>  <predecessor>  ?a   ,?a  <successor>  ?b,0.010615711,0.625,0.625,5,8,8,?a
?b  <child>  <Archduchess_Maria_Johanna_Gabriela_of_Austria>  <Francis_I_Holy_Roman_Emperor>  <predecessor>  ?a   ,?a  <successor>  ?b,0.010615711,0.625,0.625,5,8,8,?a
?b  <child>  <Maria_Carolina_of_Austria>  <Francis_I_Holy_Roman_Emperor>  <predecessor>  ?a   ,?a  <successor>  ?b,0.010615711,0.625,0.625,5,8,8,?a
?b  <child>  <Archduchess_Maria_Josepha_of_Austria>  <Francis_I_Holy_Roman_Emperor>  <predecessor>  ?a   ,?a  <successor>  ?b,0.010615711,0.625,0.625,5,8,8,?a
?b  <child>  <Joseph_II_Holy_Roman_Emperor>  <Francis_I_Holy_Roman_Emperor>  <predecessor>  ?a   ,?a  <successor>  ?b,0.010615711,0.625,0.625,5,8,8,?a
?b  <child>  <Archduke_Maximilian_Francis_of_Austria>  <Francis_I_Holy_Roman_Emperor>  <predecessor>  ?a   ,?a  <successor>  ?b,0.010615711,0.625,0.625,5,8,8,?a
?b  <child>  <Marie_Antoinette>  <Francis_I_Holy_Roman_Emperor>  <predecessor>  ?a   ,?a  <successor>  ?b,0.010615711,0.625,0.625,5,8,8,?a
?b  <child>  <Archduchess_Maria_Elisabeth_of_Austria_born_1743>  <Francis_I_Holy_Roman_Emperor>  <predecessor>  ?a   ,?a  <successor>  ?b,0.010615711,0.625,0.625,5,8,8,?a
?b  <child>  <Archduchess_Maria_Carolina_of_Austria_stillborn_1748>  <Francis_I_Holy_Roman_Emperor>  <predecessor>  ?a   ,?a  <successor>  ?b,0.010615711,0.625,0.625,5,8,8,?a
